end_time,duration_hours,rainfall_in_mm
2023-12-18 12:00:00,3,0.0
2023-12-18 15:00:00,6,0.0
2023-12-18 18:00:00,9,6.4
2023-12-19 08:30:00,24,7.9
2023-12-19 12:00:00,3,0.0
2023-12-19 15:00:00,6,0.0
2023-12-19 18:00:00,9,0.0
2023-12-20 08:30:00,24,0.0
2023-12-20 12:00:00,3,0.0
2023-12-20 15:00:00,6,0.3
2023-12-20 18:00:00,9,0.3
2023-12-21 08:30:00,24,0.3
2023-12-21 12:00:00,3,0.0
2023-12-21 15:00:00,6,0.0
2023-12-21 18:00:00,9,0.0
2023-12-22 08:30:00,24,0.0
